{'docnum': 1, 'title': 'experimental investigation of the aerodynamics of awing in a slipstream .'}
{'docnum': 142, 'title': 'the problem of aerodynamic heating .'}
{'docnum': 143, 'title': 'interplanetary orbits .'}
{'docnum': 144, 'title': 'heat flow in composite slabs .'}
{'docnum': 145, 'title': 'skin friction in the laminar boundary layer in compressibleflow .'}
{'docnum': 146, 'title': 'supersonic flow past slender bodies with discontinuousprofile slope .'}
{'docnum': 147, 'title': 'supersonic flow past slender pointed wings with ?similar?cross sections at zero lift .'}
{'docnum': 148, 'title': 'on displacement thickness .'}
{'docnum': 149, 'title': 'expansions at small reynolds number for the flow pasta sphere and a circular cylinder .'}
{'docnum': 150, 'title': 'integration of the boundary layer equations .'}
{'docnum': 151, 'title': 'the generation of noise by isotropic turbulence .'}
{'docnum': 152, 'title': 'on the flow of compressible fluid past an obstacle .'}
{'docnum': 153, 'title': 'on the steady motion of viscous, incompressible fluids,with particular reference to a variation principle .'}
{'docnum': 154, 'title': 'velocity and temperature distributions in the turbulentwake behind a heated body of revolution .'}
{'docnum': 155, 'title': 'on the solution of the laminar boundary layer equations .'}
{'docnum': 156, 'title': 'the effect of shallow water on wave resistance .'}
{'docnum': 157, 'title': 'the hodographic transformation in transonic flow .'}
{'docnum': 158, 'title': 'temperature charts for induction and constant temperatureheating .'}
{'docnum': 159, 'title': 'numerical methods for transient heat flow .'}
{'docnum': 160, 'title': 'approximate analytical solutions for hypersonic flowpast slender power-law bodies .'}
{'docnum': 161, 'title': 'supersonic flow past a family of blunt symmetric bodies .'}
{'docnum': 162, 'title': 'nearly circular transfer trajectories for descendingsatellites .'}
{'docnum': 163, 'title': 'an analysis of the corridor and guidance requirementsfor supercircular entry planetary atmospheres .'}
{'docnum': 164, 'title': 'an approximate analytical method for studying entryinto planetary atospheres .'}
{'docnum': 165, 'title': 'skin-friction measurements in incompressible flow.'}
{'docnum': 166, 'title': 'flow of chemically reacting gas mixtures .'}
{'docnum': 167, 'title': 'linearized flow of a dissociating gas .'}
{'docnum': 168, 'title': 'heat conduction through a gas with one inert internalmodel .'}
{'docnum': 169, 'title': 'on the sudden contact between a hot gas and a cold solid .'}
{'docnum': 170, 'title': 'the interaction of a reflected shock wave with theboundary layer in a shock tube .'}
{'docnum': 171, 'title': 'a low density wind tunnel study of shock wave structureand relaxation phenomena in gases .'}
{'docnum': 172, 'title': 'some aerodynamic considerations of nozzle afterbodycombination .'}
{'docnum': 173, 'title': 'the effect of a central jet on the base pressure ofa cylindrical afterbody in a supersonic stream .'}
{'docnum': 174, 'title': 'investigation at supersonic speeds of the effects ofjet mach number and divergence angle of the nozzleupon the pressure of the base annulus of a body ofrevolution .'}
{'docnum': 175, 'title': 'experiments with static tubes in a supersonic airstream .'}
{'docnum': 176, 'title': 'base pressure at subsonic speeds in the presence ofa supersonic jet .'}
{'docnum': 177, 'title': 'the mixing of free axially-symmetrical jets of mach number 1.40 .'}
{'docnum': 178, 'title': 'on full dispersed shock waves in carbon dioxide .'}
{'docnum': 179, 'title': 'an analysis of base pressure at supersonic speeds andcomparison with experiment .'}
{'docnum': 180, 'title': 'boundary layer over a flat plate in presence of shearflow .'}
{'docnum': 181, 'title': 'some problems on heat conduction in stratiform bodies .'}
{'docnum': 182, 'title': 'effect of roughness on transition in supersonic flow .'}
{'docnum': 183, 'title': 'properties of impact pressure probes in free moleculeflow .'}
{'docnum': 184, 'title': 'scale models for thermo-aeroelastic research .'}
{'docnum': 185, 'title': 'some possibilities of using gas mixtures other than inaerodynamic research .'}
{'docnum': 186, 'title': 'base pressure in supersonic flow .'}
{'docnum': 187, 'title': 'investigation of separated flows in supersonic and subsonicstreams with emphasis on the effect of transition .'}
{'docnum': 188, 'title': 'an analysis of base pressure at supersonic velocities andcomparison with experiment .'}
{'docnum': 189, 'title': 'experimental investigation of base pressure on blunt-trailing-edgewings of supersonic velocities .'}
{'docnum': 190, 'title': 'on magnetohydrodynamic shock waves .'}
{'docnum': 191, 'title': 'a theory for the core of a leading edge vortex .'}
{'docnum': 192, 'title': 'on the hypersonic viscous flow past slender bodiesof revolution .'}
{'docnum': 193, 'title': 'a study of inviscid flow about air foils at high supersonicspeeds .'}
{'docnum': 194, 'title': 'general theory of airfoil sections having arbitraryshape or pressure distribution .'}
{'docnum': 195, 'title': 'correlation of theoretical and photo-thermoelasticresults on thermal stresses in idealized wing structure .'}
{'docnum': 196, 'title': 'pressure distributions . axially symmetric bodies inoblique flow .'}
{'docnum': 197, 'title': 'pressure distributions on three bodies of revolutionto determine the effect of reynolds number up to andincluding the transonic speed range .'}
{'docnum': 198, 'title': 'investigation of a systematic group of naca 1 - seriescowlings with and without spinners .'}
{'docnum': 199, 'title': 'measurement of two dimensional derivatives on a wing-aileron-tabsystem .'}
{'docnum': 200, 'title': 'calculation of derivatives for a cropped delta wingwith subsonic leading edges oscillating in a supersonicairstream .'}
{'docnum': 201, 'title': 'supersonic flow past oscillating airfoils includingnonlinear thickness effects .'}
{'docnum': 202, 'title': 'aircraft flutter .'}
{'docnum': 203, 'title': 'calculated velocity distributions and force derivativesfor a series of high-speed aerofoils .'}
{'docnum': 204, 'title': 'a study of the application of airfoil section datato the estimation of the high subsonic speed characteristicsof swept wings .'}
{'docnum': 205, 'title': 'a correlation of airfoil section data with the aerodynamicloads measured on a 45 sweptback wing at subsonic machnumbers .'}
{'docnum': 206, 'title': 'the applications of the polygon method to the calculationof the compressible subsonic flow round two-dimensionalprofiles .'}
{'docnum': 207, 'title': 'laminar boundary layer oscillations and transitionon a flat plate .'}
{'docnum': 208, 'title': 'the hall effect in the viscous flow of ionized gasbetween parallel plates under transverse magnetic field .'}
{'docnum': 209, 'title': 'boundary layer induced noise in the interior of aircraft .'}
{'docnum': 210, 'title': 'propeller in yaw .'}
{'docnum': 211, 'title': 'effect of slight blunting of leading edge of an immersedbody on the flow around it at hypersonic speed .'}
{'docnum': 212, 'title': 'theory and tunnel tests of rotor blade for supersonicturbines .'}
{'docnum': 213, 'title': 'the performance of supersonic turbine nozzles .'}
{'docnum': 214, 'title': 'on the testing of supersonic compressor cascades .'}
{'docnum': 215, 'title': 'the test performance of highly loaded turbine stagesdesigned for high pressure ratio .'}
{'docnum': 216, 'title': 'the supersonic axial flow compressor .'}
{'docnum': 217, 'title': 'flow pattern in a converging-diverging nozzle .'}
{'docnum': 218, 'title': 'intensity, scale and spectra of turbulence in mixingregion of free subsonic jet .'}
{'docnum': 219, 'title': 'on the strength distribution of noise sources alonga jet .'}
{'docnum': 220, 'title': 'a general purpose analogue correlator for the analysis ofrandom noise signals .'}
{'docnum': 221, 'title': 'a theoretical study of annular supersonic nozzles .'}
{'docnum': 222, 'title': 'the flow over delta wings at low speeds with leadingedge separation .'}
{'docnum': 223, 'title': 'a note on the theory of the stanton tube .'}
{'docnum': 224, 'title': 'quasi-cylindrical surfaces with prescribed loadingsin the linearised theory of supersonic flow .'}
{'docnum': 225, 'title': 'elliptic cones alone and with wings at supersonic speeds .'}
{'docnum': 226, 'title': 'aerofoil theory of a flat delta wing at supersonicspeeds .'}
{'docnum': 227, 'title': 'a technique for improving the predictions of linearisedtheory on the drag of straight edge wings .'}
{'docnum': 228, 'title': 'navier-stokes solutions at large distances from a finite body .'}
{'docnum': 229, 'title': 'interference between the wings and tail surfaces ofa combination of slender body, cruciform wings andcruciform tail set at both incidence and yaw .'}
{'docnum': 230, 'title': 'interference between the wings and tail plane of aslender wing-body tailplane combination .'}
{'docnum': 231, 'title': 'practical calculation of second-order supersonic flowpast non-lifting bodies of revolution .'}
{'docnum': 232, 'title': 'accuracy of approximate methods for predicting pressureon pointed non-lifting bodies of revolution in supersonicflow .'}
{'docnum': 233, 'title': 'the theoretical wave drag of some bodies of revolution .'}
{'docnum': 234, 'title': 'a second order shock-expansion method applicable tobodies of revolution near zero lift .'}
{'docnum': 235, 'title': 'on the minimisation and numerical evaluation of wavedrag .'}
{'docnum': 236, 'title': 'criteria for thermodynamic equilibrium in gas flow .'}
{'docnum': 237, 'title': 'a compressor routine test code .'}
{'docnum': 238, 'title': 'on a determination of the pitot-static tube factorat low reynolds numbers, with special reference tothe measurement of low air speeds .'}
{'docnum': 239, 'title': 'design and calibration at low speeds of a static tubeand a pitot-static tube with semi-ellipsoidal noseshapes .'}
{'docnum': 240, 'title': 'a theoretical analysis of heat transfer in regions of separated flow'}
{'docnum': 241, 'title': 'laminar mixing of a non-uniform stream with a fluidat rest .'}
{'docnum': 242, 'title': 'an approximate theory of base pressure in two dimensionalflow at supersonic speeds .'}
{'docnum': 243, 'title': 'investigation with an interferometer of the turbulentmixing of a free supersonic jet .'}
{'docnum': 244, 'title': 'an improved smoke generator for use in the visualisationof airflow, particularly boundary layer flow at highreynolds numbers .'}
{'docnum': 245, 'title': 'the ground effect on the jet flap in two dimensions .'}
{'docnum': 246, 'title': 'the design of minimum drag tip fins . with an appendix- on the conformal transformation of a wing with afin .'}
{'docnum': 247, 'title': 'the calculation of the pressure distribution on thickwings of small aspect ratio at zero lift in subsonicflow .'}
{'docnum': 248, 'title': 'the application of lighthill formula for numericalcalculation of pressure distributions on bodies ofrevolution at supersonic speed and zero angle of attack .'}
{'docnum': 249, 'title': 'formulae for the computation of the functions employedfor calculating the velocity distribution about a givenaerofoil .'}
{'docnum': 250, 'title': 'pressure distributions at zero lift for delta wingswith rhombic cross sections .'}
{'docnum': 251, 'title': 'a collection of longitudinal stability derivativesof wings at supersonic speeds .'}
{'docnum': 252, 'title': 'an investigation of interference effects on similar models ofdifferent size in various transonic tunnels in the u.k. .'}
{'docnum': 253, 'title': 'on the ground level disturbance from large aircraftflying at supersonic speeds .'}
{'docnum': 254, 'title': 'boundary layers with suction and injection . a reviewof published work on skin friction .'}
{'docnum': 255, 'title': 'an approximate solution of the turbulent boundary layerequations in incompressible and compressible .'}
{'docnum': 256, 'title': 'an experimental study of the glancing interaction betweena shock wave and a turbulent boundary layer .'}
{'docnum': 257, 'title': 'on turbulen flow between parallel plates .'}
{'docnum': 258, 'title': 'the effect of turbulence on slider bearing lubrication .'}
{'docnum': 259, 'title': 'second order theory for unsteady supersonic flowpast slender pointed bodies of revolution .'}
{'docnum': 260, 'title': 'a critical review of skin friction and heat transfersolutions of the laminar boundary layer of a flat plate .'}
{'docnum': 261, 'title': 'experiments on axi-symmetric boundary layers alonga long cylinder in incompressible flow .'}
{'docnum': 262, 'title': 'the formation of a blast wave by a very intense explosion .'}
{'docnum': 263, 'title': 'cylindrical shock waves produced by instantaneous energyrelease .'}
{'docnum': 264, 'title': 'asymptotic solution of the two dimensional oscillatingaerofoil problem for high subsonic mach numbers .'}
{'docnum': 265, 'title': 'some instabilities arising from the interaction betweenshock waves and boundary layer .'}
{'docnum': 266, 'title': 'exact solution of the neumann problem . calculationfor non- circulatory plane and axially symmetric flowsabout or within arbitrary boundaries .'}
{'docnum': 267, 'title': 'steady and transient free convection of an electricallyconducting fluid from a vertical plate in the presenceof a magnetic field .'}
{'docnum': 268, 'title': 'several magnetohydrodynamic free-convection solutions .'}
{'docnum': 269, 'title': 'on a laminar free-convection flow and heat transferof electrically conducting fluid on a vertical flatplate in the presence of a transverse magnetic field .'}
{'docnum': 270, 'title': 'on combined free and forced convection laminar magnetohydrodynamicflow and heat transfer in channels with transversemagnetic field .'}
{'docnum': 271, 'title': 'an experimental test of compressibility transformationfor turbulent boundary layer .'}
{'docnum': 272, 'title': 'oscillatory aerodynamic coefficients for a unified supersonichypersonic strip theory .'}
{'docnum': 273, 'title': 'flow past slender blunt bodies - a review and extension .'}
{'docnum': 274, 'title': 'analysis of quartz and teflon shields for a particularre-entry mission .'}
{'docnum': 275, 'title': 'the effect of lift on entry corridor depth and guidancerequirements for the return lunar flight .'}
{'docnum': 276, 'title': 'reaction tests of turbine nozzles for supersonic velocities .'}
{'docnum': 277, 'title': 'study of flow conditions and deflection angle at exitof two-dimensional cascade of turbine rotor bladesat critical and supercritical pressure ratios .'}
{'docnum': 278, 'title': 'on source and vortex distributions in the linearisedtheory of steady supersonic flow .'}
{'docnum': 279, 'title': 'supersonic drag calculations for a cylindrical shellwing of semicircular cross section combined with acentral body of revolution .'}
{'docnum': 280, 'title': 'the surface oil flow technique as used in high speedwind tunnels in the united kingdom .'}
{'docnum': 281, 'title': 'higher order approximations for relaxation oscillations .'}
{'docnum': 282, 'title': 'jet effects on base pressure of conical afterbodiesat mach 1. 91 and 3. 12 .'}
{'docnum': 283, 'title': 'laminar heat transfer around blunt bodies in dissociatedair .'}
{'docnum': 284, 'title': 'the divergence of supersonic wings including chordwisebending .'}
{'docnum': 285, 'title': 'on the flutter of panels at high mach numbers .'}
{'docnum': 286, 'title': 'effect of roll on dynamic instability of symmetricmissiles .'}
{'docnum': 287, 'title': 'some theoretical low-speed loading characteristicsof swept wings in roll and sideslip .'}
{'docnum': 288, 'title': 'the rolling up of the trailing vortex sheet and itseffect on the downwash behind wings .'}
{'docnum': 289, 'title': 'a theoretical study of the aerodynamics of slendercruciform-wing arrangements and their wakes .'}
{'docnum': 290, 'title': 'dynamic stability of a missile in rolling flight .'}
{'docnum': 291, 'title': 'sweepback effects in the turbulent boundary-layer shock-waveinteraction .'}
{'docnum': 292, 'title': 'rapid laminar boundary layer calculations by piece-wiseapplication of similar solutions .'}
{'docnum': 293, 'title': 'recent studies on the effect of cooling on boundarylayer transition at mach 4.'}
{'docnum': 294, 'title': 'an investigation of laminar transitional and turbulentheat transfer on blunt-nosed bodies in hypersonic flow .'}
{'docnum': 295, 'title': 'a note on transitional heat transfer under hypersonic conditions .'}
{'docnum': 296, 'title': 'notes on waves through gases at pressures small comparedwith the magnetic pressure, with applications to upperatmosphere aerodynamics .'}
{'docnum': 297, 'title': 'compressibility effects in magneto-aerodynamic flowspast thin bodies .'}
{'docnum': 298, 'title': 'incompressible wedge flows of an electrically conductingviscous fluid in the presence of a magnetic field .'}
{'docnum': 299, 'title': 'magnetohydrodynamic flow past a semi-infinite plate .'}
{'docnum': 300, 'title': 'on a particular class of similar solutions of the equationsof motion and energy of a viscous fluid .'}
{'docnum': 301, 'title': 'approximate design of sharp-cornered supersonic nozzles .'}
{'docnum': 302, 'title': 'approximations for the thermodynamic and transport properties of hightemperature air .'}
{'docnum': 303, 'title': 'effect of variable heat recombination on stagnationpoint heat transfer .'}
{'docnum': 304, 'title': 'first-order approach to a strong interaction problemin hypersonic flow over an insulated flat plate .'}
{'docnum': 305, 'title': 'hypersonic strong viscous interaction on a flat platewith surface mass transfer .'}
{'docnum': 306, 'title': 'second approximation to laminar compressible boundarylayer on flat plate in slip flow .'}
{'docnum': 307, 'title': 'an approximate solution of hypersonic laminar boundarylayer equations and its application .'}
{'docnum': 308, 'title': 'on the hypersonic viscous flow past a flat plate withsuction or injection .'}
{'docnum': 309, 'title': 'on the motion of a flat plate at high speed in a viscouscompressible fluid, ii, steady motion .'}
{'docnum': 310, 'title': 'hypersonic viscous flow over a flat plate'}
{'docnum': 311, 'title': 'a method for predicting the onset of buffeting and other separationeffects from wind tunnel tests on rigid models .'}
{'docnum': 312, 'title': 'chordwise pressure distributions over several naca16 series airfoils at transonic mach numbers up to1.25 .'}
{'docnum': 313, 'title': 'on alternative forms for the basic equations of transonicflow theory .'}
{'docnum': 314, 'title': 'simplified method for determination of the criticalheight of distributed roughness particles for boundarylayer transition at mach numbers from 0 to 5.'}
{'docnum': 315, 'title': 'scale effects at high subsonic and transonic speedsand methods for fixing transition in model experiments .'}
{'docnum': 316, 'title': 'the occurrence and development of boundary layer separations at highincidences and high speeds .'}
{'docnum': 317, 'title': 'non-equilibrium flow of an ideal dissociating gas .'}
{'docnum': 318, 'title': 'inviscid hypersonic flow past blunt bodies .'}
{'docnum': 319, 'title': 'propagation of weak disturbances in a gas subject torelaxation effects .'}
