{'Doc#': 252, 'Term': 'a.r.a', 'Freq': 1}
{'Doc#': 166, 'Term': 'absorpt', 'Freq': 1}
{'Doc#': 357, 'Term': 'absorpt', 'Freq': 2}
{'Doc#': 154, 'Term': 'abstract', 'Freq': 1}
{'Doc#': 479, 'Term': 'abstract', 'Freq': 1}
{'Doc#': 718, 'Term': 'abundantli', 'Freq': 1}
{'Doc#': 344, 'Term': 'academ', 'Freq': 1}
{'Doc#': 814, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 896, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 662, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 33, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 29, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 164, 'Term': 'acceler', 'Freq': 2}
{'Doc#': 768, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 1201, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 1242, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 292, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 562, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 813, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 595, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 34, 'Term': 'acceler', 'Freq': 3}
{'Doc#': 83, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 698, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 330, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 967, 'Term': 'acceler', 'Freq': 3}
{'Doc#': 459, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 620, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 208, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 1219, 'Term': 'acceler', 'Freq': 3}
{'Doc#': 290, 'Term': 'acceler', 'Freq': 2}
{'Doc#': 339, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 788, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 832, 'Term': 'acceler', 'Freq': 1}
{'Doc#': 164, 'Term': 'acceleration', 'Freq': 1}
{'Doc#': 51, 'Term': 'acceleration', 'Freq': 1}
{'Doc#': 1346, 'Term': 'acceleration', 'Freq': 1}
{'Doc#': 1219, 'Term': 'acceleration-toler', 'Freq': 1}
{'Doc#': 51, 'Term': 'accelerations', 'Freq': 1}
{'Doc#': 882, 'Term': 'acceleromet', 'Freq': 1}
{'Doc#': 1169, 'Term': 'accentu', 'Freq': 1}
{'Doc#': 1153, 'Term': 'accept', 'Freq': 1}
{'Doc#': 753, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1347, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1370, 'Term': 'accept', 'Freq': 1}
{'Doc#': 253, 'Term': 'accept', 'Freq': 1}
{'Doc#': 575, 'Term': 'accept', 'Freq': 1}
{'Doc#': 388, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1019, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1261, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1002, 'Term': 'accept', 'Freq': 1}
{'Doc#': 819, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1346, 'Term': 'accept', 'Freq': 1}
{'Doc#': 101, 'Term': 'accept', 'Freq': 1}
{'Doc#': 841, 'Term': 'accept', 'Freq': 1}
{'Doc#': 1242, 'Term': 'acceptable', 'Freq': 1}
{'Doc#': 723, 'Term': 'acceptance', 'Freq': 1}
{'Doc#': 656, 'Term': 'accepted', 'Freq': 1}
{'Doc#': 1105, 'Term': 'accessible', 'Freq': 1}
{'Doc#': 715, 'Term': 'accident', 'Freq': 1}
{'Doc#': 518, 'Term': 'accommod', 'Freq': 3}
{'Doc#': 974, 'Term': 'accommod', 'Freq': 1}
{'Doc#': 1056, 'Term': 'accommod', 'Freq': 1}
{'Doc#': 1239, 'Term': 'accommod', 'Freq': 1}
{'Doc#': 168, 'Term': 'accommod', 'Freq': 1}
{'Doc#': 1147, 'Term': 'accommod', 'Freq': 2}
{'Doc#': 207, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 261, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 53, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 152, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 109, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 296, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 589, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 1277, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 797, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 1147, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 638, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 724, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 520, 'Term': 'accompani', 'Freq': 1}
{'Doc#': 968, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 172, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 363, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 192, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 47, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 727, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 579, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 718, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 1147, 'Term': 'accomplish', 'Freq': 2}
{'Doc#': 355, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 163, 'Term': 'accomplish', 'Freq': 1}
{'Doc#': 1014, 'Term': 'accord', 'Freq': 1}
{'Doc#': 585, 'Term': 'accord', 'Freq': 1}
{'Doc#': 927, 'Term': 'accord', 'Freq': 1}
{'Doc#': 455, 'Term': 'accord', 'Freq': 1}
{'Doc#': 133, 'Term': 'accord', 'Freq': 1}
{'Doc#': 403, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1304, 'Term': 'accord', 'Freq': 2}
{'Doc#': 1375, 'Term': 'accord', 'Freq': 1}
{'Doc#': 134, 'Term': 'accord', 'Freq': 1}
{'Doc#': 317, 'Term': 'accord', 'Freq': 1}
{'Doc#': 818, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1186, 'Term': 'accord', 'Freq': 1}
{'Doc#': 152, 'Term': 'accord', 'Freq': 1}
{'Doc#': 542, 'Term': 'accord', 'Freq': 1}
{'Doc#': 874, 'Term': 'accord', 'Freq': 1}
{'Doc#': 263, 'Term': 'accord', 'Freq': 2}
{'Doc#': 1127, 'Term': 'accord', 'Freq': 2}
{'Doc#': 614, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1199, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1244, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1036, 'Term': 'accord', 'Freq': 1}
{'Doc#': 667, 'Term': 'accord', 'Freq': 1}
{'Doc#': 410, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1072, 'Term': 'accord', 'Freq': 1}
{'Doc#': 934, 'Term': 'accord', 'Freq': 1}
{'Doc#': 827, 'Term': 'accord', 'Freq': 1}
{'Doc#': 297, 'Term': 'accord', 'Freq': 1}
{'Doc#': 125, 'Term': 'accord', 'Freq': 1}
{'Doc#': 377, 'Term': 'accord', 'Freq': 1}
{'Doc#': 573, 'Term': 'accord', 'Freq': 1}
{'Doc#': 110, 'Term': 'accord', 'Freq': 1}
{'Doc#': 883, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1035, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1061, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1075, 'Term': 'accord', 'Freq': 1}
{'Doc#': 1136, 'Term': 'accord', 'Freq': 1}
{'Doc#': 899, 'Term': 'accord', 'Freq': 1}
{'Doc#': 184, 'Term': 'accordingli', 'Freq': 1}
{'Doc#': 458, 'Term': 'accordingli', 'Freq': 1}
{'Doc#': 718, 'Term': 'accordingli', 'Freq': 1}
{'Doc#': 1072, 'Term': 'accordingli', 'Freq': 1}
{'Doc#': 1373, 'Term': 'accordingly', 'Freq': 1}
{'Doc#': 188, 'Term': 'accordingly', 'Freq': 1}
{'Doc#': 625, 'Term': 'accordingly', 'Freq': 1}
{'Doc#': 179, 'Term': 'accordingly', 'Freq': 1}
{'Doc#': 652, 'Term': 'account', 'Freq': 1}
{'Doc#': 596, 'Term': 'account', 'Freq': 1}
{'Doc#': 429, 'Term': 'account', 'Freq': 1}
{'Doc#': 825, 'Term': 'account', 'Freq': 1}
{'Doc#': 1178, 'Term': 'account', 'Freq': 1}
{'Doc#': 207, 'Term': 'account', 'Freq': 1}
{'Doc#': 1392, 'Term': 'account', 'Freq': 1}
{'Doc#': 927, 'Term': 'account', 'Freq': 1}
{'Doc#': 600, 'Term': 'account', 'Freq': 1}
{'Doc#': 22, 'Term': 'account', 'Freq': 1}
{'Doc#': 210, 'Term': 'account', 'Freq': 1}
{'Doc#': 202, 'Term': 'account', 'Freq': 1}
{'Doc#': 172, 'Term': 'account', 'Freq': 1}
{'Doc#': 807, 'Term': 'account', 'Freq': 1}
{'Doc#': 458, 'Term': 'account', 'Freq': 1}
{'Doc#': 1226, 'Term': 'account', 'Freq': 1}
{'Doc#': 246, 'Term': 'account', 'Freq': 1}
{'Doc#': 134, 'Term': 'account', 'Freq': 1}
{'Doc#': 352, 'Term': 'account', 'Freq': 1}
{'Doc#': 1201, 'Term': 'account', 'Freq': 1}
{'Doc#': 697, 'Term': 'account', 'Freq': 1}
{'Doc#': 294, 'Term': 'account', 'Freq': 1}
{'Doc#': 818, 'Term': 'account', 'Freq': 1}
{'Doc#': 975, 'Term': 'account', 'Freq': 1}
{'Doc#': 903, 'Term': 'account', 'Freq': 1}
{'Doc#': 284, 'Term': 'account', 'Freq': 1}
{'Doc#': 170, 'Term': 'account', 'Freq': 1}
{'Doc#': 1248, 'Term': 'account', 'Freq': 1}
{'Doc#': 616, 'Term': 'account', 'Freq': 1}
{'Doc#': 508, 'Term': 'account', 'Freq': 1}
{'Doc#': 572, 'Term': 'account', 'Freq': 1}
{'Doc#': 1235, 'Term': 'account', 'Freq': 1}
{'Doc#': 309, 'Term': 'account', 'Freq': 1}
{'Doc#': 531, 'Term': 'account', 'Freq': 1}
{'Doc#': 984, 'Term': 'account', 'Freq': 1}
{'Doc#': 1050, 'Term': 'account', 'Freq': 1}
{'Doc#': 149, 'Term': 'account', 'Freq': 1}
{'Doc#': 468, 'Term': 'account', 'Freq': 1}
{'Doc#': 1310, 'Term': 'account', 'Freq': 1}
{'Doc#': 610, 'Term': 'account', 'Freq': 1}
{'Doc#': 42, 'Term': 'account', 'Freq': 1}
{'Doc#': 957, 'Term': 'account', 'Freq': 1}
{'Doc#': 445, 'Term': 'account', 'Freq': 1}
{'Doc#': 766, 'Term': 'account', 'Freq': 1}
{'Doc#': 714, 'Term': 'account', 'Freq': 1}
{'Doc#': 923, 'Term': 'account', 'Freq': 1}
{'Doc#': 132, 'Term': 'account', 'Freq': 2}
{'Doc#': 444, 'Term': 'account', 'Freq': 1}
{'Doc#': 1027, 'Term': 'account', 'Freq': 1}
{'Doc#': 667, 'Term': 'account', 'Freq': 1}
{'Doc#': 1048, 'Term': 'account', 'Freq': 1}
{'Doc#': 424, 'Term': 'account', 'Freq': 1}
{'Doc#': 1286, 'Term': 'account', 'Freq': 1}
{'Doc#': 1211, 'Term': 'account', 'Freq': 1}
{'Doc#': 362, 'Term': 'account', 'Freq': 1}
{'Doc#': 544, 'Term': 'account', 'Freq': 1}
{'Doc#': 820, 'Term': 'account', 'Freq': 1}
{'Doc#': 182, 'Term': 'account', 'Freq': 1}
{'Doc#': 78, 'Term': 'account', 'Freq': 1}
{'Doc#': 97, 'Term': 'account', 'Freq': 1}
{'Doc#': 1339, 'Term': 'account', 'Freq': 1}
{'Doc#': 52, 'Term': 'account', 'Freq': 1}
{'Doc#': 594, 'Term': 'account', 'Freq': 1}
{'Doc#': 26, 'Term': 'account', 'Freq': 1}
{'Doc#': 63, 'Term': 'account', 'Freq': 1}
{'Doc#': 786, 'Term': 'account', 'Freq': 1}
{'Doc#': 1221, 'Term': 'account', 'Freq': 1}
{'Doc#': 87, 'Term': 'account', 'Freq': 1}
{'Doc#': 573, 'Term': 'account', 'Freq': 1}
{'Doc#': 619, 'Term': 'account', 'Freq': 1}
{'Doc#': 25, 'Term': 'account', 'Freq': 1}
{'Doc#': 683, 'Term': 'account', 'Freq': 1}
{'Doc#': 737, 'Term': 'account', 'Freq': 1}
{'Doc#': 1012, 'Term': 'account', 'Freq': 1}
{'Doc#': 72, 'Term': 'account', 'Freq': 1}
{'Doc#': 328, 'Term': 'account', 'Freq': 1}
{'Doc#': 1364, 'Term': 'account', 'Freq': 1}
{'Doc#': 305, 'Term': 'account', 'Freq': 1}
{'Doc#': 44, 'Term': 'account', 'Freq': 1}
{'Doc#': 171, 'Term': 'account', 'Freq': 1}
{'Doc#': 826, 'Term': 'account', 'Freq': 1}
{'Doc#': 528, 'Term': 'account', 'Freq': 1}
{'Doc#': 33, 'Term': 'accru', 'Freq': 1}
{'Doc#': 835, 'Term': 'accumul', 'Freq': 1}
{'Doc#': 837, 'Term': 'accumul', 'Freq': 1}
{'Doc#': 186, 'Term': 'accumul', 'Freq': 1}
{'Doc#': 837, 'Term': 'accumulations', 'Freq': 1}
{'Doc#': 1153, 'Term': 'accur', 'Freq': 1}
{'Doc#': 49, 'Term': 'accur', 'Freq': 1}
{'Doc#': 947, 'Term': 'accur', 'Freq': 1}
{'Doc#': 753, 'Term': 'accur', 'Freq': 2}
{'Doc#': 411, 'Term': 'accur', 'Freq': 1}
{'Doc#': 927, 'Term': 'accur', 'Freq': 1}
{'Doc#': 455, 'Term': 'accur', 'Freq': 1}
{'Doc#': 921, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1330, 'Term': 'accur', 'Freq': 1}
{'Doc#': 476, 'Term': 'accur', 'Freq': 1}
{'Doc#': 32, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1375, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1182, 'Term': 'accur', 'Freq': 2}
{'Doc#': 370, 'Term': 'accur', 'Freq': 1}
{'Doc#': 55, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1343, 'Term': 'accur', 'Freq': 2}
{'Doc#': 1000, 'Term': 'accur', 'Freq': 1}
{'Doc#': 477, 'Term': 'accur', 'Freq': 1}
{'Doc#': 366, 'Term': 'accur', 'Freq': 2}
{'Doc#': 165, 'Term': 'accur', 'Freq': 1}
{'Doc#': 294, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1070, 'Term': 'accur', 'Freq': 1}
{'Doc#': 687, 'Term': 'accur', 'Freq': 1}
{'Doc#': 262, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1246, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1053, 'Term': 'accur', 'Freq': 1}
{'Doc#': 622, 'Term': 'accur', 'Freq': 1}
{'Doc#': 54, 'Term': 'accur', 'Freq': 1}
{'Doc#': 50, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1134, 'Term': 'accur', 'Freq': 1}
{'Doc#': 36, 'Term': 'accur', 'Freq': 1}
{'Doc#': 423, 'Term': 'accur', 'Freq': 1}
{'Doc#': 467, 'Term': 'accur', 'Freq': 1}
{'Doc#': 760, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1231, 'Term': 'accur', 'Freq': 1}
{'Doc#': 193, 'Term': 'accur', 'Freq': 1}
{'Doc#': 497, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1310, 'Term': 'accur', 'Freq': 1}
{'Doc#': 381, 'Term': 'accur', 'Freq': 1}
{'Doc#': 567, 'Term': 'accur', 'Freq': 1}
{'Doc#': 320, 'Term': 'accur', 'Freq': 1}
{'Doc#': 232, 'Term': 'accur', 'Freq': 3}
{'Doc#': 459, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1140, 'Term': 'accur', 'Freq': 1}
{'Doc#': 461, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1068, 'Term': 'accur', 'Freq': 1}
{'Doc#': 639, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1215, 'Term': 'accur', 'Freq': 1}
{'Doc#': 186, 'Term': 'accur', 'Freq': 2}
{'Doc#': 362, 'Term': 'accur', 'Freq': 1}
{'Doc#': 936, 'Term': 'accur', 'Freq': 1}
{'Doc#': 980, 'Term': 'accur', 'Freq': 1}
{'Doc#': 734, 'Term': 'accur', 'Freq': 1}
{'Doc#': 671, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1219, 'Term': 'accur', 'Freq': 1}
{'Doc#': 685, 'Term': 'accur', 'Freq': 1}
{'Doc#': 24, 'Term': 'accur', 'Freq': 1}
{'Doc#': 705, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1066, 'Term': 'accur', 'Freq': 1}
{'Doc#': 101, 'Term': 'accur', 'Freq': 1}
{'Doc#': 25, 'Term': 'accur', 'Freq': 1}
{'Doc#': 962, 'Term': 'accur', 'Freq': 2}
{'Doc#': 329, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1311, 'Term': 'accur', 'Freq': 1}
{'Doc#': 628, 'Term': 'accur', 'Freq': 1}
{'Doc#': 873, 'Term': 'accur', 'Freq': 1}
{'Doc#': 72, 'Term': 'accur', 'Freq': 2}
{'Doc#': 1386, 'Term': 'accur', 'Freq': 2}
{'Doc#': 127, 'Term': 'accur', 'Freq': 1}
{'Doc#': 237, 'Term': 'accur', 'Freq': 1}
{'Doc#': 365, 'Term': 'accur', 'Freq': 1}
{'Doc#': 1179, 'Term': 'accur', 'Freq': 1}
{'Doc#': 443, 'Term': 'accur', 'Freq': 2}
{'Doc#': 634, 'Term': 'accur', 'Freq': 1}
{'Doc#': 527, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 585, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 896, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1392, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 927, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 921, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 767, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 213, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1302, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1375, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1182, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1226, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 842, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 843, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 275, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 470, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 522, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 92, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1009, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 261, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 659, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 266, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 325, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 1246, 'Term': 'accuraci', 'Freq': 3}
{'Doc#': 622, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 292, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 1377, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1250, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1078, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 160, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1312, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 515, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 391, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 309, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 479, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 1272, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1384, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1062, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 193, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 70, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1335, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1342, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1113, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1047, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1209, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 889, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 232, 'Term': 'accuraci', 'Freq': 4}
{'Doc#': 923, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1092, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 677, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 461, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 498, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 433, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1043, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 786, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1355, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 530, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1241, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 851, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1388, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 162, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 235, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 788, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 231, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 57, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 1148, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 237, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 163, 'Term': 'accuraci', 'Freq': 2}
{'Doc#': 750, 'Term': 'accuraci', 'Freq': 1}
{'Doc#': 54, 'Term': 'accuracy', 'Freq': 2}
{'Doc#': 1248, 'Term': 'accuracy', 'Freq': 1}
{'Doc#': 155, 'Term': 'accuracy', 'Freq': 1}
{'Doc#': 548, 'Term': 'accuracy', 'Freq': 1}
{'Doc#': 140, 'Term': 'accuracy', 'Freq': 2}
{'Doc#': 1207, 'Term': 'accurate', 'Freq': 1}
{'Doc#': 1127, 'Term': 'acet', 'Freq': 1}
{'Doc#': 184, 'Term': 'achiev', 'Freq': 1}
{'Doc#': 486, 'Term': 'achiev', 'Freq': 1}
{'Doc#': 733, 'Term': 'achiev', 'Freq': 1}
{'Doc#': 1051, 'Term': 'achiev', 'Freq': 1}
{'Doc#': 1347, 'Term': 'achiev', 'Freq': 1}
{'Doc#': 455, 'Term': 'achiev', 'Freq': 1}
{'Doc#': 488, 'Term': 'achiev', 'Freq': 1}
